organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
AFE,2017.3,1,2017,3,3,Cuartil 1,1
AFE,2017.4,0,2017,4,4,Cuartil 1,1
ANEP,2017.1,440,2017,1,1,Cuartil 4,4
ANEP,2017.2,134,2017,2,2,Cuartil 3,3
ANEP,2017.3,170,2017,3,3,Cuartil 4,4
ANEP,2017.4,744,2017,4,4,Cuartil 4,4
BCU,2017.1,5,2017,1,1,Cuartil 1,1
BCU,2017.2,16,2017,2,2,Cuartil 2,2
BCU,2017.3,7,2017,3,3,Cuartil 2,2
BCU,2017.4,10,2017,4,4,Cuartil 2,2
BHU,2017.1,11,2017,1,1,Cuartil 2,2
BHU,2017.2,1,2017,2,2,Cuartil 1,1
BHU,2017.3,2,2017,3,3,Cuartil 1,1
BHU,2017.4,0,2017,4,4,Cuartil 1,1
BPS,2017.1,63,2017,1,1,Cuartil 3,3
BPS,2017.2,61,2017,2,2,Cuartil 3,3
BPS,2017.3,19,2017,3,3,Cuartil 2,2
BPS,2017.4,54,2017,4,4,Cuartil 3,3
BROU,2017.1,272,2017,1,1,Cuartil 4,4
BROU,2017.2,105,2017,2,2,Cuartil 3,3
BROU,2017.3,166,2017,3,3,Cuartil 4,4
BROU,2017.4,167,2017,4,4,Cuartil 4,4
BSE,2017.1,39,2017,1,1,Cuartil 3,3
BSE,2017.2,35,2017,2,2,Cuartil 3,3
BSE,2017.3,31,2017,3,3,Cuartil 2,2
BSE,2017.4,53,2017,4,4,Cuartil 3,3
INC,2017.1,2,2017,1,1,Cuartil 1,1
INC,2017.2,0,2017,2,2,Cuartil 1,1
INC,2017.3,4,2017,3,3,Cuartil 1,1
INC,2017.4,2,2017,4,4,Cuartil 1,1
UTE,2017.1,926,2017,1,1,Cuartil 4,4
UTE,2017.2,3553,2017,2,2,Cuartil 4,4
UTE,2017.3,281,2017,3,3,Cuartil 4,4
UTE,2017.4,726,2017,4,4,Cuartil 4,4
UTEC,2017.1,7,2017,1,1,Cuartil 2,2
UTEC,2017.2,6,2017,2,2,Cuartil 2,2
UTEC,2017.3,3,2017,3,3,Cuartil 1,1
UTEC,2017.4,13,2017,4,4,Cuartil 2,2
UdelaR,2017.1,282,2017,1,1,Cuartil 4,4
UdelaR,2017.2,32,2017,2,2,Cuartil 2,2
UdelaR,2017.3,116,2017,3,3,Cuartil 3,3
UdelaR,2017.4,125,2017,4,4,Cuartil 3,3
AFE,2018.1,7,2018,1,5,Cuartil 1,1
AFE,2018.2,1,2018,2,6,Cuartil 1,1
AFE,2018.3,0,2018,3,7,Cuartil 1,1
ANCAP,2018.4,0,2018,4,8,Cuartil 1,1
ANEP,2018.1,147,2018,1,5,Cuartil 3,3
ANEP,2018.2,172,2018,2,6,Cuartil 4,4
ANEP,2018.3,299,2018,3,7,Cuartil 4,4
ANEP,2018.4,319,2018,4,8,Cuartil 4,4
BCU,2018.1,24,2018,1,5,Cuartil 2,2
BCU,2018.2,5,2018,2,6,Cuartil 1,1
BCU,2018.3,882,2018,3,7,Cuartil 4,4
BCU,2018.4,13,2018,4,8,Cuartil 2,2
BHU,2018.1,18,2018,1,5,Cuartil 2,2
BHU,2018.2,1,2018,2,6,Cuartil 1,1
BHU,2018.3,8,2018,3,7,Cuartil 1,1
BHU,2018.4,0,2018,4,8,Cuartil 1,1
BPS,2018.1,18,2018,1,5,Cuartil 2,2
BPS,2018.2,45,2018,2,6,Cuartil 2,2
BPS,2018.3,36,2018,3,7,Cuartil 2,2
BPS,2018.4,67,2018,4,8,Cuartil 3,3
BROU,2018.1,111,2018,1,5,Cuartil 3,3
BROU,2018.2,188,2018,2,6,Cuartil 4,4
BROU,2018.3,151,2018,3,7,Cuartil 4,4
BROU,2018.4,127,2018,4,8,Cuartil 3,3
BSE,2018.1,68,2018,1,5,Cuartil 3,3
BSE,2018.2,81,2018,2,6,Cuartil 3,3
BSE,2018.3,60,2018,3,7,Cuartil 3,3
BSE,2018.4,32,2018,4,8,Cuartil 2,2
INC,2018.3,9,2018,3,7,Cuartil 1,1
UTE,2018.1,755,2018,1,5,Cuartil 4,4
UTE,2018.2,405,2018,2,6,Cuartil 4,4
UTE,2018.3,960,2018,3,7,Cuartil 4,4
UTE,2018.4,1280,2018,4,8,Cuartil 4,4
UTEC,2018.1,11,2018,1,5,Cuartil 1,1
UTEC,2018.2,11,2018,2,6,Cuartil 1,1
UTEC,2018.3,38,2018,3,7,Cuartil 2,2
UTEC,2018.4,16,2018,4,8,Cuartil 2,2
UdelaR,2018.1,94,2018,1,5,Cuartil 3,3
UdelaR,2018.2,67,2018,2,6,Cuartil 3,3
UdelaR,2018.3,56,2018,3,7,Cuartil 2,2
UdelaR,2018.4,97,2018,4,8,Cuartil 3,3
ANCAP,2019.1,0,2019,1,9,Cuartil 1,1
ANCAP,2019.2,0,2019,2,10,Cuartil 1,1
ANCAP,2019.3,3404,2019,3,11,Cuartil 4,4
ANCAP,2019.4,6665,2019,4,12,Cuartil 4,4
ANEP,2019.1,271,2019,1,9,Cuartil 4,4
ANEP,2019.2,183,2019,2,10,Cuartil 3,3
ANEP,2019.3,2557,2019,3,11,Cuartil 4,4
ANEP,2019.4,666,2019,4,12,Cuartil 4,4
BCU,2019.1,193,2019,1,9,Cuartil 3,3
BCU,2019.2,8,2019,2,10,Cuartil 1,1
BCU,2019.3,8,2019,3,11,Cuartil 1,1
BCU,2019.4,52,2019,4,12,Cuartil 2,2
BHU,2019.1,27,2019,1,9,Cuartil 2,2
BHU,2019.2,0,2019,2,10,Cuartil 1,1
BHU,2019.3,0,2019,3,11,Cuartil 1,1
BHU,2019.4,12,2019,4,12,Cuartil 2,2
BPS,2019.1,48,2019,1,9,Cuartil 2,2
BPS,2019.2,88,2019,2,10,Cuartil 3,3
BPS,2019.3,40,2019,3,11,Cuartil 2,2
BPS,2019.4,114,2019,4,12,Cuartil 3,3
BROU,2019.1,113,2019,1,9,Cuartil 3,3
BROU,2019.2,290,2019,2,10,Cuartil 4,4
BROU,2019.3,191,2019,3,11,Cuartil 3,3
BROU,2019.4,72,2019,4,12,Cuartil 3,3
BSE,2019.1,88,2019,1,9,Cuartil 3,3
BSE,2019.2,52,2019,2,10,Cuartil 2,2
BSE,2019.3,43,2019,3,11,Cuartil 2,2
BSE,2019.4,36,2019,4,12,Cuartil 2,2
INC,2019.1,3,2019,1,9,Cuartil 1,1
INC,2019.2,2,2019,2,10,Cuartil 1,1
INC,2019.3,1,2019,3,11,Cuartil 1,1
INC,2019.4,3,2019,4,12,Cuartil 1,1
UTE,2019.1,806,2019,1,9,Cuartil 4,4
UTE,2019.2,438,2019,2,10,Cuartil 4,4
UTE,2019.3,1318,2019,3,11,Cuartil 4,4
UTE,2019.4,1985,2019,4,12,Cuartil 4,4
UTEC,2019.1,9,2019,1,9,Cuartil 1,1
UTEC,2019.2,12,2019,2,10,Cuartil 2,2
UTEC,2019.3,29,2019,3,11,Cuartil 2,2
UTEC,2019.4,29,2019,4,12,Cuartil 2,2
UdelaR,2019.1,97,2019,1,9,Cuartil 3,3
UdelaR,2019.2,51,2019,2,10,Cuartil 2,2
UdelaR,2019.3,666,2019,3,11,Cuartil 4,4
UdelaR,2019.4,93,2019,4,12,Cuartil 3,3
AFE,2020.1,3,2020,1,13,Cuartil 1,1
AFE,2020.4,2,2020,4,16,Cuartil 1,1
ANCAP,2020.1,22099,2020,1,13,Cuartil 4,4
ANCAP,2020.2,1905,2020,2,14,Cuartil 4,4
ANCAP,2020.3,4614,2020,3,15,Cuartil 4,4
ANCAP,2020.4,3780,2020,4,16,Cuartil 4,4
ANEP,2020.1,193,2020,1,13,Cuartil 4,4
ANEP,2020.2,153,2020,2,14,Cuartil 3,3
ANEP,2020.3,410,2020,3,15,Cuartil 4,4
ANEP,2020.4,181,2020,4,16,Cuartil 4,4
BCU,2020.1,0,2020,1,13,Cuartil 1,1
BCU,2020.2,63,2020,2,14,Cuartil 3,3
BCU,2020.3,8,2020,3,15,Cuartil 1,1
BCU,2020.4,50,2020,4,16,Cuartil 3,3
BHU,2020.1,0,2020,1,13,Cuartil 1,1
BHU,2020.2,0,2020,2,14,Cuartil 1,1
BHU,2020.3,1,2020,3,15,Cuartil 1,1
BHU,2020.4,2,2020,4,16,Cuartil 1,1
BPS,2020.1,24,2020,1,13,Cuartil 2,2
BPS,2020.2,48,2020,2,14,Cuartil 2,2
BPS,2020.3,17,2020,3,15,Cuartil 2,2
BPS,2020.4,83,2020,4,16,Cuartil 3,3
BROU,2020.1,209,2020,1,13,Cuartil 4,4
BROU,2020.2,47,2020,2,14,Cuartil 2,2
BROU,2020.3,79,2020,3,15,Cuartil 3,3
BROU,2020.4,77,2020,4,16,Cuartil 3,3
BSE,2020.1,45,2020,1,13,Cuartil 2,2
BSE,2020.2,24,2020,2,14,Cuartil 2,2
BSE,2020.3,131,2020,3,15,Cuartil 3,3
BSE,2020.4,31,2020,4,16,Cuartil 2,2
INC,2020.1,1,2020,1,13,Cuartil 1,1
INC,2020.2,4,2020,2,14,Cuartil 1,1
INC,2020.3,1,2020,3,15,Cuartil 1,1
INC,2020.4,11,2020,4,16,Cuartil 1,1
UTE,2020.1,630,2020,1,13,Cuartil 4,4
UTE,2020.2,3515,2020,2,14,Cuartil 4,4
UTE,2020.3,1388,2020,3,15,Cuartil 4,4
UTE,2020.4,1520,2020,4,16,Cuartil 4,4
UTEC,2020.1,16,2020,1,13,Cuartil 2,2
UTEC,2020.2,34,2020,2,14,Cuartil 2,2
UTEC,2020.3,15,2020,3,15,Cuartil 2,2
UTEC,2020.4,40,2020,4,16,Cuartil 2,2
UdelaR,2020.1,69,2020,1,13,Cuartil 3,3
UdelaR,2020.2,67,2020,2,14,Cuartil 3,3
UdelaR,2020.3,79,2020,3,15,Cuartil 3,3
UdelaR,2020.4,97,2020,4,16,Cuartil 3,3
AFE,2021.3,2,2021,3,19,Cuartil 1,1
ANCAP,2021.1,8999,2021,1,17,Cuartil 4,4
ANCAP,2021.2,6994,2021,2,18,Cuartil 4,4
ANCAP,2021.3,7007,2021,3,19,Cuartil 4,4
ANCAP,2021.4,8431,2021,4,20,Cuartil 4,4
ANEP,2021.1,166,2021,1,17,Cuartil 3,3
ANEP,2021.2,95,2021,2,18,Cuartil 3,3
ANEP,2021.3,183,2021,3,19,Cuartil 3,3
ANEP,2021.4,311,2021,4,20,Cuartil 4,4
BCU,2021.1,3,2021,1,17,Cuartil 1,1
BCU,2021.2,25,2021,2,18,Cuartil 2,2
BCU,2021.3,27,2021,3,19,Cuartil 2,2
BCU,2021.4,42,2021,4,20,Cuartil 2,2
BHU,2021.2,0,2021,2,18,Cuartil 1,1
BHU,2021.3,10,2021,3,19,Cuartil 1,1
BHU,2021.4,2,2021,4,20,Cuartil 1,1
BPS,2021.1,41,2021,1,17,Cuartil 2,2
BPS,2021.2,67,2021,2,18,Cuartil 3,3
BPS,2021.3,70,2021,3,19,Cuartil 3,3
BPS,2021.4,185,2021,4,20,Cuartil 4,4
BROU,2021.1,53,2021,1,17,Cuartil 2,2
BROU,2021.2,16,2021,2,18,Cuartil 2,2
BROU,2021.3,2868,2021,3,19,Cuartil 4,4
BROU,2021.4,90,2021,4,20,Cuartil 3,3
BSE,2021.1,44,2021,1,17,Cuartil 2,2
BSE,2021.2,48,2021,2,18,Cuartil 2,2
BSE,2021.3,72,2021,3,19,Cuartil 3,3
BSE,2021.4,59,2021,4,20,Cuartil 3,3
INC,2021.1,2,2021,1,17,Cuartil 1,1
INC,2021.2,1,2021,2,18,Cuartil 1,1
INC,2021.3,1,2021,3,19,Cuartil 1,1
INC,2021.4,8,2021,4,20,Cuartil 1,1
UTE,2021.1,451,2021,1,17,Cuartil 4,4
UTE,2021.2,666,2021,2,18,Cuartil 4,4
UTE,2021.3,624,2021,3,19,Cuartil 4,4
UTE,2021.4,936,2021,4,20,Cuartil 4,4
UTEC,2021.1,9,2021,1,17,Cuartil 1,1
UTEC,2021.2,11,2021,2,18,Cuartil 1,1
UTEC,2021.3,26,2021,3,19,Cuartil 2,2
UTEC,2021.4,27,2021,4,20,Cuartil 2,2
UdelaR,2021.1,91,2021,1,17,Cuartil 3,3
UdelaR,2021.2,51,2021,2,18,Cuartil 2,2
UdelaR,2021.3,80,2021,3,19,Cuartil 3,3
UdelaR,2021.4,175,2021,4,20,Cuartil 3,3
